Gold,Level,Minions,Kills,Assists,Deaths,Plates,Towers,Dragons,Heralds,Sight_wards,Control_wards,Gold_diff,Win
27534,9.0,385,14,19,11,4,1,2,1,10,4,2958,1
24576,8.4,352,11,12,14,4,0,0,0,17,7,-2958,0
33482,9.2,456,22,18,7,7,3,1,1,20,2,10900,1
22582,8.2,370,7,5,22,3,0,0,0,12,6,-10900,0
27929,8.6,419,14,16,11,7,2,1,1,6,4,4188,1
23741,8.2,351,11,15,14,1,0,0,0,21,2,-4188,0
27292,9.0,447,13,10,8,7,1,1,1,16,5,4028,1
23264,9.0,432,8,1,13,2,0,0,0,14,3,-4028,0
30400,9.0,391,16,13,11,9,3,1,1,20,3,2507,1
27893,8.8,370,11,17,16,5,1,0,0,17,0,-2507,0
24241,8.4,403,7,5,10,4,0,0,0,14,3,-1919,0
26160,8.6,408,10,13,7,4,1,2,1,21,3,1919,1
29601,8.4,339,18,16,20,3,2,0,0,20,4,442,0
29159,8.6,370,20,17,18,7,0,1,1,16,3,-442,1
27117,8.8,387,14,13,17,4,0,1,0,19,5,-1611,0
28728,8.8,372,17,11,14,11,2,1,1,18,1,1611,1
24663,8.8,395,8,11,18,3,0,1,0,11,3,-3807,0
28470,9.2,408,18,9,8,8,1,1,1,12,3,3807,1
28088,9.4,411,16,10,8,4,0,0,1,19,5,4173,1
23915,8.4,424,8,10,16,3,0,1,0,19,3,-4173,0
31851,9.2,411,19,25,11,8,3,1,1,18,3,7523,1
24328,8.2,312,11,15,19,3,0,0,0,17,4,-7523,0
25797,8.8,364,10,8,15,6,1,0,0,13,4,-3582,0
29379,8.8,407,15,13,10,6,2,1,1,16,3,3582,1
26515,8.8,401,9,8,12,5,1,1,0,20,5,-2562,1
29077,8.8,442,12,11,9,12,3,0,1,15,2,2562,0
27007,8.8,389,12,19,8,6,0,1,0,20,0,3910,1
23097,8.6,377,8,5,12,5,0,0,1,16,4,-3910,0
26784,8.8,364,16,17,10,0,0,1,0,17,4,1187,1
25597,8.4,367,10,13,16,8,1,1,1,15,6,-1187,0
19708,7.6,317,6,5,16,0,0,0,0,12,5,-9370,0
29078,9.0,478,16,13,6,7,2,0,1,17,4,9370,1
28588,9.2,437,15,11,8,5,1,0,1,12,5,3921,0
24667,8.8,432,8,10,15,1,0,0,0,19,4,-3921,1
21705,8.2,360,3,2,16,3,1,0,1,21,3,-6808,0
28513,9.0,444,16,19,3,5,1,1,0,23,7,6808,1
28334,9.0,397,17,24,11,4,1,0,0,15,1,3108,1
25226,8.4,395,11,13,17,1,0,0,1,19,1,-3108,0
31933,9.2,442,17,14,6,10,2,1,1,24,6,11857,1
20076,8.2,333,6,6,17,1,0,0,0,12,0,-11857,0
26134,8.8,403,9,11,15,3,0,0,0,16,3,-1184,0
27318,8.8,378,15,24,9,6,0,2,1,19,2,1184,1
25974,8.8,454,8,8,12,4,1,1,0,15,4,-1834,0
27808,8.8,422,12,15,8,5,1,1,1,19,2,1834,1
27613,9.0,380,17,25,16,1,0,0,0,16,4,-297,0
27910,8.8,383,16,22,17,2,1,1,0,21,1,297,1
23626,8.2,387,8,8,10,3,1,0,1,20,1,-1146,1
24772,8.6,410,10,10,8,5,0,1,0,17,3,1146,0
24711,8.8,367,9,12,15,0,0,1,0,16,3,-2013,1
26724,8.8,428,15,10,9,3,1,0,1,15,4,2013,0
31591,8.8,414,21,28,13,5,1,1,1,16,5,7562,1
24029,8.0,333,13,17,21,1,0,0,0,14,4,-7562,0
26885,8.8,405,11,10,11,7,1,0,1,14,3,1628,1
25257,8.6,385,11,10,11,3,1,2,0,16,5,-1628,0
22907,8.2,325,8,8,14,5,0,0,1,20,3,-4674,0
27581,9.2,436,14,11,8,3,1,2,0,14,2,4674,1
29739,9.0,424,19,30,4,6,0,2,0,18,6,8453,1
21286,7.8,343,4,4,19,3,0,0,1,11,3,-8453,0
22462,8.4,333,7,11,11,2,0,1,0,17,2,-3754,1
26216,8.8,419,11,14,7,3,0,0,0,17,3,3754,0
27338,8.4,405,9,16,3,7,2,1,1,20,4,6133,1
21205,8.4,419,3,1,9,3,0,1,0,19,5,-6133,0
26212,8.8,449,9,8,8,2,1,1,0,18,1,914,1
25298,8.8,423,8,9,9,5,1,0,1,18,3,-914,0
25520,8.8,362,11,16,9,4,1,1,1,14,4,-525,1
26045,8.6,402,9,11,11,7,1,1,0,23,4,525,0
27045,8.8,408,12,17,12,5,0,1,0,18,4,1565,1
25480,9.2,424,12,7,12,4,1,0,1,17,2,-1565,0
22224,8.2,352,7,6,14,1,0,0,0,13,1,-6892,0
29116,9.4,464,14,10,7,9,2,2,1,18,4,6892,1
22964,8.8,442,5,3,8,2,0,0,0,20,8,-1627,0
24591,9.2,447,8,6,5,4,0,1,1,21,4,1627,1
25715,9.2,426,13,11,9,3,0,1,0,20,4,-163,1
25878,9.2,461,9,10,13,1,0,0,0,22,0,163,0
29228,9.2,396,21,25,7,5,0,1,0,17,6,7138,1
22090,8.4,356,7,3,21,5,0,0,1,16,30,-7138,0
29394,8.6,387,19,17,19,5,1,0,1,18,5,1186,0
28208,9.0,394,19,14,19,0,0,1,0,15,1,-1186,1
25298,8.4,409,11,9,13,4,1,0,0,18,1,-1072,0
26370,9.2,386,13,12,11,6,1,1,1,19,5,1072,1
27036,8.8,448,12,16,6,2,0,0,1,19,3,4780,1
22256,8.6,388,6,4,12,2,0,1,0,20,6,-4780,0
27299,8.8,409,13,13,12,5,1,2,1,13,8,-707,1
28006,9.0,409,12,16,13,6,1,0,0,22,3,707,0
27067,9.0,464,10,12,13,7,0,1,1,22,3,567,1
26500,8.8,386,13,13,10,5,1,0,0,18,6,-567,0
26310,8.8,334,15,26,19,1,0,1,1,16,9,-2918,0
29228,9.0,368,19,22,15,3,0,0,0,17,0,2918,1
25608,8.8,400,13,16,19,3,0,2,0,11,4,-2125,1
27733,9.0,349,19,13,13,4,0,0,1,17,2,2125,0
24155,8.4,379,9,11,19,1,0,0,0,23,4,-8824,0
32979,9.4,461,19,22,9,9,2,2,1,20,4,8824,1
29267,9.2,438,17,21,11,1,0,1,0,24,1,2336,1
26931,9.2,444,11,11,17,4,1,1,1,21,5,-2336,0
23770,8.8,374,9,7,22,0,0,0,0,12,1,-9890,0
33660,9.2,462,22,21,9,7,4,2,1,18,13,9890,1
25613,8.6,440,11,18,8,5,0,0,0,17,7,330,1
25283,9.0,408,8,4,11,7,1,2,1,16,1,-330,0
27029,8.4,327,15,17,20,5,1,0,0,20,3,-1747,0
28776,8.4,366,20,25,15,2,0,1,0,20,3,1747,1
29093,8.6,455,13,16,7,5,1,1,1,14,6,4605,0
24488,8.6,438,7,9,13,2,0,1,0,17,6,-4605,1
23101,8.2,360,7,9,12,3,0,0,0,19,3,-3709,0
26810,9.0,445,12,8,7,6,0,1,1,17,4,3709,1
21188,8.0,337,7,4,11,4,0,0,0,14,3,-6137,0
27325,8.6,425,11,15,7,6,2,2,1,18,5,6137,1
20362,8.2,345,4,5,18,2,0,0,0,17,6,-10857,0
31219,9.6,461,18,16,4,6,1,1,1,14,4,10857,1
25572,9.0,360,11,14,13,5,1,0,1,18,4,-683,0
26255,9.4,410,13,16,11,3,0,1,0,17,1,683,1
30720,9.0,397,20,15,16,8,2,1,1,15,5,1751,1
28969,9.4,385,16,14,20,5,0,0,0,15,2,-1751,0
23727,8.6,370,10,9,10,1,0,1,0,17,4,-4929,0
28656,9.2,432,10,8,10,8,2,0,1,17,4,4929,1
25875,8.6,414,11,11,12,2,0,0,1,15,5,813,1
25062,8.8,419,12,8,11,1,0,1,0,14,1,-813,0
25432,8.8,413,14,13,9,2,0,1,0,18,3,-413,0
25845,8.8,399,9,13,14,5,1,0,1,14,1,413,1
26304,9.2,422,12,13,8,4,1,1,0,16,5,3256,1
23048,8.4,342,8,8,12,2,0,1,1,19,5,-3256,0
28869,9.0,457,15,15,2,4,1,1,1,17,3,9679,1
19190,8.0,338,2,3,15,1,0,0,0,18,2,-9679,0
23734,8.4,389,7,8,8,3,0,0,1,18,4,997,1
22737,8.8,393,8,15,7,1,0,2,0,14,3,-997,0
24041,8.6,411,9,9,5,4,0,0,1,22,3,1423,1
22618,8.4,421,5,7,9,4,0,1,0,17,4,-1423,0
27401,9.0,427,14,14,11,2,0,0,0,19,9,-283,0
27684,8.8,425,11,14,14,7,1,1,1,19,1,283,1
